Slovenského národního povstání
U Města Chersonu
U Věžových domů
V. K. Klicpery
W. A. Mozarta
Za Zámeckým dvorem
nám. 5. května
U Dolní brány
U Horní brány
Jiřího z Poděbrad
nám. Čs. armády
Pod Kleprlíkovou horou
S. K. Neumanna
T. G. Masaryka
nábřeží 17. listopadu
nám. Československé armády
nám. Dukelských hrdinů
náměstí Boženy Němcové
Slovenského nár. povstání
Dr. Ed. Beneše
Alej Kateřiny Zaháňské
Na Horním konci
Stará zámecká cesta
U Starých lázní
U Stříbrného potoka
V Kovářově dole
U Přírodního divadla
T. G. Masaryka
nám. 17. listopadu
náměstí Aloise Jiráska
U staré školy
U Staré školy
U Nového světa
Pod Bílou horou
U Pstružího potoka
sídliště Pod lesem
Karla Hynka Máchy
náměstí Sigmunda Freuda
nám. Rudé armády
Na staré cestě
U Staré školy
Na Lacinově louce
Na Vysoké mezi
Na Staré vsi
Na Zemské stezce
Náměstí B. Hrozného
U Nové hospody
T. G. Masaryka
Přemysla Otakara II.
Dr. Antonína Dvořáka
Generála Antonína Sochora
náměstí 5. května
U Nové vodárny
U Vodárenské věže
U Zimního stadionu
U Mlýnského potoka
Nám. Př. Otakara
Dr. Milady Horákové
E. F. Buriana
I. P. Pavlova
Járy da Cimrmana
Jakoubka ze Stříbra
Jiřího z Poděbrad
Matěje z Janova
nám. Národních hrdinů
Roháče z Dubé
U botanické zahrady
U dětského domova
U Husova sboru
U místní dráhy
U rybářských stavů
U solných mlýnů
U sportovní haly
U staré Moravy
Za Zlatou koulí
prap. Fr. Vrzala
U Nových Dvorů
Bojovníků za svobodu
U Horní brány
J. z Poděbrad
Roháče z Dubé
K Velkému dvoru
Na Malé Straně
náměstí Cypriána Lellka
U Požární zbrojnice
Pod Ostrou hůrkou
U Kulturního domu
Na Krásné vyhlídce
Dr. Ed. Beneše
K. H. Borovského
K. M. Lichnovského
U Bílé vody
Petra z Kravař
Na Dolní hrázi
náměstí Slezského odboje
náměstí Svaté Hedviky
náměstí Svaté Trojice
Na Dolním poli
Na Starém břehu
sady U Muzea
U Černého mlýna
U Dubového mlýna
U Jaktařské brány
U Lučního mlýna
Na Horní hrázi
U Panského dvora
U Panského mlýna
U Švédské kaple
Na Staré cestě
Na Malé Straně
náměstí Jana Zajíce
E. F. Buriana
Karla Hynka Máchy
M. D. Rettigové
náměstí Antonie Bejdové
náměstí Boženy Němcové
náměstí Gen. Svobody
náměstí Jana Nerudy
náměstí Jiřího Myrona
náměstí Jurije Gagarina
náměstí kardinála Tomáška
náměstí Msgre Šrámka
náměstí Svatopluka Čecha
náměstí Václava Vacka
náměstí Vítězslava Nováka
